year,budget_usd,gross_usd
1920.0,100000.0,3000000.0
1927.0,6000000.0,26435.0
1929.0,379000.0,2808000.0
1933.0,439000.0,2300000.0
1935.0,609000.0,3000000.0
1936.0,1500000.0,163245.0
1939.0,2800000.0,22202612.0
1940.0,2440000.0,80350000.0
1946.0,5050000.0,22025000.0
1947.0,2300000.0,7927.0
1948.0,3700000.0,2956000.0
1950.0,3768785.0,8000000.0
1952.0,4000000.0,36000000.0
1953.0,2605000.0,20500000.0
1954.0,1455000.0,4934530.5
1957.0,3000000.0,27200000.0
1959.0,2883848.0,25000000.0
1960.0,806947.0,32000000.0
1961.0,6000000.0,43650000.0
1962.0,8050000.0,11033517.5
1963.0,14171666.666666666,42950000.0
1964.0,4486666.666666667,38237907.166666664
1965.0,10400000.0,69310231.8
1966.0,1200000.0,6100000.0
1967.0,9500000.0,43100000.0
1968.0,11000000.0,36757685.5
1969.0,4866666.666666667,41711931.0
1970.0,12875000.0,10450000.0
1971.0,4181750.0,27247057.75
1972.0,3005000.0,67501217.5
1973.0,3444250.0,77508161.25
1974.0,5330588.666666667,59085266.666666664
1975.0,2314787.5,56614598.5
1976.0,4980000.0,71117623.5
1977.0,12150145.0,47183333.333333336
1978.0,17471428.57142857,88728627.71428572
1979.0,21333333.333333332,61400000.0
1980.0,19333333.333333332,39501854.166666664
1981.0,10259375.0,28903677.0
1982.0,16169230.76923077,50114148.92307692
1983.0,18541666.666666668,48597333.333333336
1984.0,16963157.89473684,53449751.10526316
1985.0,16257537.357142856,48409803.571428575
1986.0,14383000.0,44436464.04
1987.0,13908333.333333334,40500288.03333333
1988.0,14425000.0,42877549.75
1989.0,16828666.666666668,38806607.46666667
1990.0,31344125.0,57612369.875
1991.0,23378379.310344826,48637644.827586204
1992.0,25918968.75,60040606.75
1993.0,19964285.714285713,30593702.11904762
1994.0,28582600.0,47732292.58
1995.0,29545703.125,41019504.03125
1996.0,31771098.9010989,37823594.95604396
1997.0,34310346.53465346,38648046.28712871
1998.0,32361565.217391305,37895681.79130435
1999.0,29305272.727272727,32071354.032467533
2000.0,32828422.07792208,37170878.18831169
2001.0,30964397.590361446,33478118.879518073
2002.0,29634777.424581006,34526325.16759776
2003.0,31450914.623188406,38070866.623188406
2004.0,32230964.455621302,34267111.30177515
2005.0,31080507.12352941,30589218.170588236
2006.0,27384149.425287355,29898669.752873562
2007.0,25456892.85714286,29655082.7
2008.0,30453012.04819277,33458232.825301204
2009.0,28238937.5,28644251.0375
2010.0,32293562.091503266,36862936.46405229
2011.0,32839400.0,37633259.90625
2012.0,29488357.269503545,38760166.45390071
2013.0,33325960.31972789,39909666.0
2014.0,31557727.272727273,43032955.09848485
2015.0,33781101.345454544,40703547.06363636
2016.0,33469166.666666668,42423655.458333336
