year,avg_rating
1916.0,8.0
1920.0,4.8
1925.0,8.3
1927.0,8.3
1929.0,7.15
1930.0,7.8
1932.0,6.6
1933.0,7.1
1934.0,8.2
1935.0,7.8
1936.0,7.85
1937.0,7.75
1938.0,7.5
1939.0,8.166666666666666
1940.0,7.419999999999999
1941.0,7.8
1942.0,8.0
1943.0,7.0
1944.0,6.5
1945.0,7.55
1946.0,7.866666666666667
1947.0,7.1000000000000005
1948.0,7.333333333333333
1949.0,7.300000000000001
1950.0,7.0
1951.0,7.3999999999999995
1952.0,7.575
1953.0,7.1
1954.0,7.675
1955.0,7.65
1956.0,6.8
1957.0,8.55
1958.0,8.1
1959.0,7.366666666666667
1960.0,8.233333333333334
1961.0,7.720000000000001
1962.0,7.3999999999999995
1963.0,7.35
1964.0,7.779999999999999
1965.0,7.475
1966.0,7.333333333333333
1967.0,7.075
1968.0,7.31
1969.0,6.82
1970.0,7.125
1971.0,6.99
1972.0,7.366666666666666
1973.0,7.311111111111111
1974.0,7.55
1975.0,7.733333333333333
1976.0,7.366666666666666
1977.0,6.83125
1978.0,6.828571428571428
1979.0,6.8125
1980.0,6.9739130434782615
1981.0,6.45625
1982.0,6.724
1983.0,6.677272727272728
1984.0,6.732142857142857
1985.0,6.633333333333333
1986.0,6.4
1987.0,6.4125
1988.0,6.566666666666666
1989.0,6.753125
1990.0,6.76551724137931
1991.0,6.493548387096775
1992.0,6.923529411764706
1993.0,6.727083333333333
1994.0,6.596296296296296
1995.0,6.565714285714286
1996.0,6.404081632653061
1997.0,6.47948717948718
1998.0,6.481818181818182
1999.0,6.41377245508982
2000.0,6.2301775147929
2001.0,6.302185792349727
2002.0,6.330392156862746
2003.0,6.285798816568047
2004.0,6.456038647342996
2005.0,6.347685185185185
2006.0,6.408936170212765
2007.0,6.493434343434344
2008.0,6.331838565022421
2009.0,6.3075098814229245
2010.0,6.2715555555555556
2011.0,6.2593749999999995
2012.0,6.251401869158879
2013.0,6.361038961038961
2014.0,6.244855967078189
2015.0,6.038862559241706
2016.0,6.366326530612245
